case_id,case_name,case_domain,case_subdomain,start_date,end_date,core_actor,summary,geo_scope,status
CASE_HUAWEI_001,Huawei Export-Control Chain,tech_security,entity_list,2019-05-21 00:00:00,2023-04-18 00:00:00,Huawei,"Tracks the escalation from Huawei’s 2019 Entity List designation through temporary carve-outs, foreign-produced direct product (FDP) tightening, FCC market-access restrictions, and a major BIS enforcement action.",US-China,reviewed
CASE_SMIC_001,SMIC Restriction Chain,tech_security,advanced_computing,2020-12-22 00:00:00,2024-12-05 00:00:00,SMIC,Captures how the SMIC case moved from a firm-specific Entity List designation to broader sector-wide semiconductor manufacturing controls affecting PRC fabs and associated supply chains.,US-China,reviewed
CASE_ADVCTRL_001,Advanced Computing and Semiconductor Controls Chain,tech_security,advanced_computing,2022-10-13 00:00:00,2024-12-05 00:00:00,BIS / PRC advanced-computing ecosystem,"Captures the October 2022–December 2024 tightening cycle spanning advanced-computing controls, UVL-to-Entity-List escalation, semiconductor-manufacturing controls, procurement restrictions, and the 140-entity expansion.",US-China,reviewed
CASE_YMTC_001,YMTC Escalation and Memory-Fab Risk Chain,tech_security,entity_list,2022-10-13 00:00:00,2026-02-17 00:00:00,YMTC,"Tracks the shift from YMTC’s October 2022 UVL status to its December 2022 Entity List designation, then follows later memory/HBM-focused controls and downstream procurement-exclusion risk.",US-China,reviewed
CASE_COVSEM_001,Covered-Semiconductor Procurement Chain,tech_security,supply_chain,2024-05-03 00:00:00,2026-02-17 00:00:00,Covered semiconductor supply chain,"Tracks how Section 5949 semiconductor security concerns moved from advance rulemaking in 2024 to a 2026 proposed FAR prohibition naming SMIC, CXMT, and YMTC and adding disclosure/reporting obligations.",US federal procurement,reviewed
CASE_FOUNDRY_001,Foundry Diversion and AI-Diffusion Compliance Chain,tech_security,advanced_computing,2024-12-05 00:00:00,2026-01-15 00:00:00,Foundries / Sophgo-linked ecosystem,"Tracks how December 2024 advanced-node/HBM/FDP refinements evolved into January 2025 AI-diffusion controls, foundry-specific due-diligence requirements, and a foundry-focused Entity List action tied to diversion risk to Huawei, followed by a February 2025 correction and a January 2026 licensing recalibration.",US-China,reviewed
CASE_CXMT_001,CXMT Memory Security and Procurement Chain,tech_security,supply_chain,2024-05-03 00:00:00,2026-02-17 00:00:00,CXMT / PRC memory ecosystem,"Tracks how memory-specific controls and security screening signals evolved into explicit procurement and disclosure risk for CXMT-linked semiconductor sources, connecting HBM-focused export controls, a DoD Chinese military company notice, AI-diffusion framing, and the February 2026 proposed FAR prohibition.",US-China,reviewed
CASE_VEU_001,Trusted-Fab Authorization and Revocation Chain,tech_security,advanced_computing,2024-10-02 00:00:00,2026-01-15 00:00:00,PRC fab / data-center authorization regime,"Tracks the shift from a facilitative Data Center VEU framework toward tighter AI-diffusion controls, foundry due-diligence requirements, revocation of PRC fab VEU authorizations, and a later recalibration of chip license review policy.",US-China,reviewed
CASE_EL25_001,2025 Entity-List Expansion and Anti-Diversion Chain,tech_security,entity_list,2025-01-16 00:00:00,2025-10-09 00:00:00,BIS Entity List enforcement system,"Tracks the 2025 progression from January Entity List additions to broader March expansion, September anti-diversion enforcement linked to SMIC-listed fabs, and October China/Turkey/UAE additions that widened the circumvention perimeter.",US-China / third-country routing,reviewed
CASE_IMPSEC_001,Semiconductor Import Security and Domestic Capacity Chain,tech_security,supply_chain,2025-01-17 00:00:00,2026-02-17 00:00:00,U.S. semiconductor industrial-security policy,"Tracks how AI-infrastructure industrial policy evolved into a January 2026 section 232 semiconductor security finding and a negotiation-based import-adjustment plan, then connected to procurement-side prohibitions and subcontractor flow-down duties.",United States / global semiconductor supply chain,reviewed
